model,scenario,case_name,elapsed_seconds
protenix,metal_ion,1CA2_carbonic_anhydrase_ZN,131
protenix,metal_ion,8TLN_thermolysin_ZN_CA,129
protenix,covalent_mod,4G5J_EGFR_afatinib,132
protenix,covalent_mod,5P9J_BTK_ibrutinib,130
protenix,covalent_mod,6OIM_KRAS_G12C_sotorasib,128
chai1,protein_protein,1BRS_barnase_barstar,116
chai1,protein_protein,1EMV_trypsin_inhibitor,109
chai1,protein_protein,2PV7_homodimer,249
chai1,protein_protein,3HFM_lysozyme_fab,96
chai1,protein_ligand,1HSG_HIV_protease_indinavir,101
chai1,protein_ligand,3HTB_CDK2_inhibitor,98
chai1,protein_ligand,4LDE_BRAF_vemurafenib,160
chai1,protein_ligand,6LU7_Mpro_N3,123
chai1,protein_ligand,7RN1_3CL_inhibitor,124
chai1,protein_rna,1ASY_tRNA_synthetase,251
chai1,protein_rna,1URN_U1A_RNA,96
chai1,protein_rna,2AZ0_U1A_RNA_hairpin,94
chai1,monomer,1CRN_crambin,94
chai1,monomer,1L2Y_trpcage,96
chai1,monomer,1MBN_myoglobin,98
chai1,monomer,1UBQ_ubiquitin,96
chai1,monomer,2GB1_protein_G,94
chai1,antibody_antigen,1AHW_ab_tissue_factor,262
chai1,antibody_antigen,1DVF_idiotope,194
chai1,antibody_antigen,1MLC_ab_lysozyme,273
chai1,antibody_antigen,4FQI_trastuzumab_HER2,172
chai1,antibody_antigen,7N4I_RBD_neutralizing_ab,174
chai1,protein_dna,1BL0_MarA_DNA,99
chai1,protein_dna,1J1V_DnaA_DNA,96
chai1,protein_dna,1LMB_lambda_repressor_DNA,122
chai1,protein_dna,3HDD_homeodomain_DNA,119
chai1,homo_multimer,14GS_GST_homodimer,214
chai1,homo_multimer,1HTI_TIM_homodimer,189
chai1,homo_multimer,1SAK_p53_TET_tetramer,105
chai1,metal_ion,1CA2_carbonic_anhydrase_ZN,125
chai1,metal_ion,2SOD_superoxide_dismutase_CU_ZN,137
chai1,metal_ion,8TLN_thermolysin_ZN_CA,128
chai1,covalent_mod,4G5J_EGFR_afatinib,122
chai1,covalent_mod,5P9J_BTK_ibrutinib,123
chai1,covalent_mod,6OIM_KRAS_G12C_sotorasib,97
openfold3,protein_protein,1BRS_barnase_barstar,148
openfold3,protein_protein,1EMV_trypsin_inhibitor,128
openfold3,protein_protein,2PV7_homodimer,162
openfold3,protein_protein,3HFM_lysozyme_fab,124
openfold3,protein_ligand,1HSG_HIV_protease_indinavir,132
openfold3,protein_ligand,3HTB_CDK2_inhibitor,132
openfold3,protein_ligand,4LDE_BRAF_vemurafenib,158
openfold3,protein_ligand,6LU7_Mpro_N3,139
openfold3,protein_ligand,7RN1_3CL_inhibitor,130
openfold3,protein_rna,1ASY_tRNA_synthetase,172
openfold3,protein_rna,1URN_U1A_RNA,126
openfold3,protein_rna,2AZ0_U1A_RNA_hairpin,126
openfold3,monomer,1CRN_crambin,123
openfold3,monomer,1L2Y_trpcage,124
openfold3,monomer,1MBN_myoglobin,135
openfold3,monomer,1UBQ_ubiquitin,128
openfold3,monomer,2GB1_protein_G,137
openfold3,antibody_antigen,1AHW_ab_tissue_factor,236
openfold3,antibody_antigen,1DVF_idiotope,210
openfold3,antibody_antigen,1MLC_ab_lysozyme,215
openfold3,antibody_antigen,4FQI_trastuzumab_HER2,164
openfold3,antibody_antigen,7N4I_RBD_neutralizing_ab,151
openfold3,protein_dna,1BL0_MarA_DNA,129
openfold3,protein_dna,1J1V_DnaA_DNA,124
openfold3,protein_dna,1LMB_lambda_repressor_DNA,132
openfold3,protein_dna,3HDD_homeodomain_DNA,131
openfold3,homo_multimer,14GS_GST_homodimer,143
openfold3,homo_multimer,1HTI_TIM_homodimer,156
openfold3,homo_multimer,1SAK_p53_TET_tetramer,124
openfold3,metal_ion,1CA2_carbonic_anhydrase_ZN,130
openfold3,metal_ion,2SOD_superoxide_dismutase_CU_ZN,132
openfold3,metal_ion,8TLN_thermolysin_ZN_CA,140
openfold3,covalent_mod,4G5J_EGFR_afatinib,138
openfold3,covalent_mod,5P9J_BTK_ibrutinib,138
openfold3,covalent_mod,6OIM_KRAS_G12C_sotorasib,132
af3,protein_protein,1BRS_barnase_barstar,310
af3,protein_protein,1EMV_trypsin_inhibitor,294
af3,protein_protein,2PV7_homodimer,315
af3,protein_protein,3HFM_lysozyme_fab,213
af3,protein_ligand,1HSG_HIV_protease_indinavir,211
af3,protein_ligand,3HTB_CDK2_inhibitor,224
af3,protein_ligand,4LDE_BRAF_vemurafenib,399
af3,protein_ligand,6LU7_Mpro_N3,335
af3,protein_ligand,7RN1_3CL_inhibitor,335
af3,protein_rna,1ASY_tRNA_synthetase,486
af3,protein_rna,1URN_U1A_RNA,290
af3,protein_rna,2AZ0_U1A_RNA_hairpin,277
af3,monomer,1CRN_crambin,198
af3,monomer,1L2Y_trpcage,197
af3,monomer,1MBN_myoglobin,217
af3,monomer,1UBQ_ubiquitin,235
af3,monomer,2GB1_protein_G,202
af3,antibody_antigen,1AHW_ab_tissue_factor,529
af3,antibody_antigen,1DVF_idiotope,497
af3,antibody_antigen,1MLC_ab_lysozyme,504
af3,antibody_antigen,4FQI_trastuzumab_HER2,403
af3,antibody_antigen,7N4I_RBD_neutralizing_ab,379
af3,protein_dna,1BL0_MarA_DNA,225
af3,protein_dna,1J1V_DnaA_DNA,202
af3,protein_dna,1LMB_lambda_repressor_DNA,202
af3,protein_dna,3HDD_homeodomain_DNA,196
af3,homo_multimer,14GS_GST_homodimer,259
af3,homo_multimer,1HTI_TIM_homodimer,264
af3,homo_multimer,1SAK_p53_TET_tetramer,194
af3,metal_ion,1CA2_carbonic_anhydrase_ZN,266
af3,metal_ion,2SOD_superoxide_dismutase_CU_ZN,243
af3,metal_ion,8TLN_thermolysin_ZN_CA,286
af3,covalent_mod,4G5J_EGFR_afatinib,638
af3,covalent_mod,5P9J_BTK_ibrutinib,631
af3,covalent_mod,6OIM_KRAS_G12C_sotorasib,338
protenix,protein_dna,1LMB_lambda_repressor_DNA,106
protenix,protein_dna,3HDD_homeodomain_DNA,102
protenix,homo_multimer,1HTI_TIM_homodimer,119
protenix,metal_ion,2SOD_superoxide_dismutase_CU_ZN,102
protenix,homo_multimer,1SAK_p53_TET_tetramer,101
